Date,DateGroup,Open,High,Low,Close,Adj Close,Volume,CloseRate_to_PreviousDay,Bull_Bear
2023/9/1,202309,49.762001,49.799999,48.141998,48.508999,48.494484,463830000,-0.0008 ,1
2023/9/5,202309,48.223,48.851002,47.860001,48.548,48.53347,382653000,0.0316 ,4
2023/9/6,202309,48.441002,48.549,46.580002,47.061001,47.050789,468670000,0.0177 ,4
2023/9/7,202309,45.525002,46.344002,45.152,46.241001,46.230965,433330000,0.0147 ,4
2023/9/8,202309,45.942001,46.605999,45.271,45.571999,45.562115,473069000,0.0087 ,3
2023/9/11,202309,46.147999,46.162998,44.312,45.178001,45.168201,473966000,0.0069 ,3
2023/9/12,202309,44.737999,45.673,44.530998,44.869999,44.860264,349256000,-0.0135 ,0
2023/9/13,202309,44.599998,45.93,44.502998,45.485001,45.475136,398355000,-0.0021 ,1
2023/9/14,202309,45.950001,45.987,45.131001,45.581001,45.571117,370097000,0.0383 ,4
2023/9/15,202309,45.341,45.598999,43.807999,43.900002,43.890476,506831000,-0.0015 ,1
2023/9/18,202309,42.748001,44.242001,42,43.966,43.956459,500271000,0.0102 ,4
2023/9/19,202309,43.833,43.966,43.001999,43.52,43.510559,373064000,0.0303 ,4
2023/9/20,202309,43.599998,43.903,42.223,42.238998,42.229839,367108000,0.0298 ,4
2023/9/21,202309,41.583,42.099998,40.98,41.016998,41.008102,450736000,-0.0143 ,0
2023/9/22,202309,41.571999,42.115002,41.230999,41.610001,41.600971,479236000,-0.0145 ,0
2023/9/25,202309,41.591,42.535999,41.176998,42.222,42.212841,419091000,0.0074 ,3
2023/9/26,202309,42.000999,42.82,41.654999,41.910999,41.901909,402282000,-0.0131 ,0
2023/9/27,202309,42.330002,42.872002,41.629002,42.467999,42.458786,444935000,-0.0144 ,0
2023/9/28,202309,42.459999,43.445999,42.115002,43.089001,43.079651,424663000,-0.0094 ,1
2023/9/29,202309,43.827,44.144001,43.306999,43.499001,43.489559,397830000,-0.0286 ,0
2023/10/2,202310,44.029999,45.174999,43.861,44.782001,44.772285,433298000,0.0291 ,4
2023/10/3,202310,44.807999,45.130001,43.245998,43.516998,43.507557,470850000,-0.0119 ,0
2023/10/4,202310,43.742001,44.143002,43.292,44.041,44.031448,361821000,-0.0145 ,0
2023/10/5,202310,44.049999,44.900002,43.888,44.688,44.678307,393483000,-0.0235 ,0
2023/10/6,202310,44.193001,45.789001,44.026001,45.762001,45.752071,434436000,0.0108 ,4
2023/10/9,202310,44.841999,45.605,44.368,45.272999,45.263176,409675000,-0.0115 ,0
2023/10/10,202310,45.310001,46.258999,45.088001,45.798,45.788063,368582000,-0.0215 ,0
2023/10/11,202310,46.195999,46.859001,46.049999,46.806,46.795845,378137000,-0.0030 ,1
2023/10/12,202310,46.777,47.609001,46.330002,46.945,46.934814,481325000,0.0326 ,4
2023/10/13,202310,46.959999,47.116001,45.279999,45.460999,45.451134,474115000,-0.0138 ,0
2023/10/16,202310,45.063,46.224998,44.911999,46.095001,46.085003,375099000,0.0491 ,4
2023/10/17,202310,44,44.754002,42.48,43.938,43.928467,812333000,0.0413 ,4
2023/10/18,202310,42.591,43.219002,41.825001,42.195999,42.186848,627294000,0.0023 ,3
2023/10/19,202310,42.811001,43.297001,41.882,42.101002,42.091869,501233000,0.0173 ,4
2023/10/20,202310,41.889999,42.470001,41.077999,41.387001,41.378021,477266000,-0.0370 ,0
2023/10/23,202310,41.229,43.248001,40.945,42.974998,42.965679,478530000,-0.0158 ,0
2023/10/24,202310,43.077,43.696999,42.691002,43.662998,43.653526,401463000,0.0451 ,4
2023/10/25,202310,43.397999,43.650002,41.555,41.778999,41.769936,398379000,0.0360 ,4
2023/10/26,202310,41.853001,42.256001,39.880001,40.326,40.317253,541001000,-0.0043 ,1
2023/10/27,202310,41.130001,41.206001,40.014999,40.5,40.491215,416784000,-0.0161 ,0
2023/10/30,202310,41.087002,41.765999,40.480999,41.160999,41.152069,388028000,0.0093 ,3
2023/10/31,202310,40.450001,40.879002,39.23,40.779999,40.771152,517969000,-0.0365 ,0
2023/11/1,202311,40.883999,42.381001,40.868999,42.325001,42.315823,437593000,-0.0271 ,0
2023/11/2,202311,43.327999,43.883999,42.894001,43.506001,43.496559,409172000,-0.0333 ,0
2023/11/3,202311,44.02,45.308998,43.723,45.005001,44.995239,424610000,-0.0163 ,0
2023/11/6,202311,45.285,45.935001,44.898998,45.750999,45.741077,400733000,-0.0044 ,1
2023/11/7,202311,45.719002,46.217999,45.158001,45.955002,45.945034,343165000,-0.0133 ,0
2023/11/8,202311,46.099998,46.867001,45.967999,46.574001,46.563896,346719000,-0.0080 ,1
2023/11/9,202311,47.466999,48.23,46.75,46.950001,46.939816,540496000,-0.0287 ,0
2023/11/10,202311,47.5,48.472,47.283001,48.334999,48.324512,421245000,-0.0059 ,1
2023/11/13,202311,48.32,49.116001,48.098999,48.619999,48.609447,384136000,-0.0209 ,0
2023/11/14,202311,49.68,49.834,49.040001,49.655998,49.645226,416954000,0.0157 ,4
2023/11/15,202311,49.935001,49.959999,48.200001,48.888,48.877392,475497000,-0.0120 ,0
2023/11/16,202311,48.679001,49.525002,48.330002,49.48,49.469269,339756000,0.0037 ,3
2023/11/17,202311,49.523998,49.716999,49.007,49.298,49.287308,325205000,-0.0220 ,0
2023/11/20,202311,49.312,50.548,49.181,50.409,50.398064,414120000,0.0093 ,3
2023/11/21,202311,50.125999,50.516998,49.222,49.944,49.933167,565747000,0.0252 ,4
2023/11/22,202311,49.852001,50.334999,47.689999,48.716,48.705429,899420000,0.0197 ,4
2023/11/24,202311,48.470001,48.921001,47.744999,47.776001,47.765636,294645000,-0.0097 ,1
2023/11/27,202311,47.799999,48.529999,47.652,48.242001,48.231533,395662000,0.0088 ,3
2023/11/28,202311,48.236,48.323002,47.473,47.820999,47.810623,401491000,-0.0066 ,1
2023/11/29,202311,48.379002,48.762001,47.860001,48.139999,48.129559,382005000,0.0293 ,4
2023/11/30,202311,48.023998,48.110001,46.422001,46.77,46.759853,526247000,0.0001 ,3
2023/12/1,202312,46.525002,47.200001,46.187,46.764999,46.754852,369317000,0.0276 ,4
2023/12/4,202312,46.077,46.077,45.009998,45.509998,45.500122,437543000,-0.0227 ,0
2023/12/5,202312,45.466,46.599998,45.271,46.566002,46.55999,371718000,0.0234 ,4
2023/12/6,202312,47.215,47.387001,45.411999,45.502998,45.497128,380590000,-0.0235 ,0
2023/12/7,202312,45.700001,46.629002,45.604,46.596001,46.589989,350823000,-0.0192 ,0
2023/12/8,202312,46.595001,47.741001,46.549999,47.506001,47.49987,359224000,0.0189 ,4
2023/12/11,202312,47.491001,47.530998,45.830002,46.626999,46.620983,509728000,-0.0216 ,0
2023/12/12,202312,46.046001,47.666,46.046001,47.657001,47.650852,372387000,-0.0090 ,1
2023/12/13,202312,47.629002,48.594002,47.608002,48.088001,48.081799,447792000,-0.0054 ,1
2023/12/14,202312,48.389999,48.669998,47.422001,48.349998,48.343758,391232000,-0.0110 ,0
2023/12/15,202312,48.194,49.403999,48.119999,48.889999,48.88369,479948000,-0.0237 ,0
2023/12/18,202312,49.400002,50.432999,49.150002,50.077,50.070538,412587000,0.0095 ,3
2023/12/19,202312,49.424,49.700001,48.895,49.604,49.597599,464444000,0.0310 ,4
