Date,Open,High,Low,Close,Volume,DateGroup,Rate_To_PreviousDay,Bull_Bear
2017/10/23 15:16,142.46,142.46,142.46,142.46,0,201710,0,1
2017/10/24 15:16,142.15,142.15,142.15,142.15,0,201710,-0.002176049,1
2017/10/25 15:16,138,138,138,138,0,201710,-0.029194513,0
2017/10/26 15:16,135.36,135.36,135.36,135.36,0,201710,-0.019130435,1
2017/10/27 15:16,135.7,135.7,135.7,135.7,0,201710,0.00251182,2
2017/10/30 15:16,132.54,132.54,132.54,132.54,0,201710,-0.023286662,1
2017/10/31 15:16,131.81,131.81,131.81,131.81,0,201710,-0.005507771,1
2017/11/1 15:16,129.05,129.05,129.05,129.05,0,201711,-0.020939231,1
2017/11/2 15:16,128.97,128.97,128.97,128.97,0,201711,-0.000619915,1
2017/11/3 15:16,130.34,130.34,130.34,130.34,0,201711,0.010622625,2
2017/11/6 15:16,130.52,130.52,130.52,130.52,0,201711,0.001381004,2
2017/11/7 15:16,129.15,129.15,129.15,129.15,0,201711,-0.010496476,1
2017/11/8 15:16,131.5,131.5,131.5,131.5,0,201711,0.018195896,2
2017/11/9 15:16,128.95,128.95,128.95,128.95,0,201711,-0.019391635,1
2017/11/13 15:16,129.75,129.75,129.75,129.75,0,201711,0.006203955,2
2017/11/14 15:16,130.15,130.15,130.15,130.15,0,201711,0.003082852,2
2017/11/15 15:16,135.21,135.21,135.21,135.21,0,201711,0.038878217,3
2017/11/20 15:16,135.83,135.83,135.83,135.83,0,201711,0.00458546,2
2017/11/21 15:16,133.56,133.56,133.56,133.56,0,201711,-0.016712067,1
2017/11/22 15:16,132.52,132.52,132.52,132.52,0,201711,-0.007786763,1
2017/11/24 13:00,130.98,130.98,130.98,130.98,0,201711,-0.011620887,1
2017/11/29 15:16,126.28,126.28,126.28,126.28,0,201711,-0.035883341,0
2017/12/4 15:16,132.14,132.14,132.14,132.14,0,201712,0.046404815,3
2017/12/5 15:16,132.07,132.07,132.07,132.07,0,201712,-0.000529741,1
2017/12/6 15:16,130.98,130.98,130.98,130.98,0,201712,-0.008253199,1
2017/12/7 15:16,130.84,130.84,130.84,130.84,0,201712,-0.001068865,1
2017/12/8 15:16,132.54,132.54,132.54,132.54,0,201712,0.012992969,2
2017/12/11 15:16,133.98,133.98,133.98,133.98,0,201712,0.010864645,2
2017/12/12 15:16,133.02,133.02,133.02,133.02,0,201712,-0.007165249,1
2017/12/13 15:16,134.71,134.71,134.71,134.71,0,201712,0.012704856,2
2017/12/14 15:16,134.03,134.03,134.03,134.03,0,201712,-0.005047881,1
2017/12/15 15:16,135.73,135.73,135.73,135.73,0,201712,0.012683728,2
2017/12/19 15:16,130.69,130.69,130.69,130.69,0,201712,-0.037132543,0
2017/12/20 15:16,133.15,133.15,133.15,133.15,0,201712,0.018823169,2
2017/12/21 15:16,132.63,132.63,132.63,132.63,0,201712,-0.00390537,1
2017/12/22 15:16,134.4,134.4,134.4,134.4,0,201712,0.013345397,2
2017/12/26 15:16,135.6,135.6,135.6,135.6,0,201712,0.008928571,2
2017/12/27 15:16,138.43,138.43,138.43,138.43,0,201712,0.020870206,2
2017/12/28 15:16,137.82,137.82,137.82,137.82,0,201712,-0.004406559,1
2017/12/29 15:16,137.05,137.05,137.05,137.05,0,201712,-0.005586998,1
2018/1/3 15:16,133.43,133.43,133.43,133.43,0,201801,-0.026413718,0
2018/1/5 15:16,127.03,127.03,127.03,127.03,0,201801,-0.047965225,0
2018/1/8 15:16,128,128,128,128,0,201801,0.007635991,2
2018/1/9 15:16,126.37,126.37,126.37,126.37,0,201801,-0.012734375,1
2018/1/10 15:16,129.12,129.12,129.12,129.12,0,201801,0.021761494,2
2018/1/11 15:16,126.1,126.1,126.1,126.1,0,201801,-0.023389095,1
2018/1/12 15:16,124.95,124.95,124.95,124.95,0,201801,-0.009119746,1
2018/1/16 15:16,128.65,128.65,128.65,128.65,0,201801,0.029611845,3
2018/1/17 15:16,136.19,136.19,136.19,136.19,0,201801,0.058608628,3
2018/1/19 15:16,132.28,132.28,132.28,132.28,0,201801,-0.028709891,0
2018/1/22 15:16,127.18,127.18,127.18,127.18,0,201801,-0.038554581,0
2018/1/23 15:16,122.95,122.95,122.95,122.95,0,201801,-0.033259947,0
2018/1/24 15:16,120.2,120.2,120.2,120.2,0,201801,-0.022366816,1
2018/1/25 15:16,121.87,121.87,121.87,121.87,0,201801,0.013893511,2
2018/1/26 15:16,117.99,117.99,117.99,117.99,0,201801,-0.031837204,0
2018/1/29 15:16,118.8,118.8,118.8,118.8,0,201801,0.006864989,2
2018/1/30 15:16,122.85,122.85,122.85,122.85,0,201801,0.034090909,3
2018/1/31 15:16,121.23,121.23,121.23,121.23,0,201801,-0.013186813,1
2018/2/1 15:16,120.59,120.59,120.59,120.59,0,201802,-0.005279221,1
2018/2/2 15:16,126.45,126.45,126.45,126.45,0,201802,0.048594411,3
2018/2/6 15:16,129.61,129.61,129.61,129.61,0,201802,0.024990115,2
2018/2/7 15:16,136.9,136.9,136.9,136.9,0,201802,0.05624566,3
2018/2/8 15:16,130.92,130.92,130.92,130.92,0,201802,-0.043681519,0
2018/2/9 15:16,128.51,128.51,128.51,128.51,0,201802,-0.018408188,1
2018/2/12 15:16,148.02,148.02,148.02,148.02,0,201802,0.151816979,3
2018/2/13 15:16,143.07,143.07,143.07,143.07,0,201802,-0.033441427,0
